identity_line_item_id,identity_time_interval,bill_invoice_id,bill_billing_entity,bill_bill_type,bill_payer_account_id,bill_billing_period_start_date,bill_billing_period_end_date,line_item_usage_account_id,line_item_line_item_type,line_item_usage_start_date,line_item_usage_end_date,line_item_product_code,line_item_usage_type,line_item_operation,line_item_availability_zone,line_item_resource_id,line_item_usage_amount,line_item_normalization_factor,line_item_normalized_usage_amount,line_item_currency_code,line_item_unblended_rate,line_item_unblended_cost,line_item_blended_rate,line_item_blended_cost,line_item_line_item_description,product_product_name,product_instance_type,product_region,product_availability_zone,product_tenancy,product_operating_system,product_service_code,resource_tags_user_team,resource_tags_user_environment,resource_tags_user_project,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_term,pricing_unit,reservation_reservation_a_r_n,reservation_effective_cost,reservation_recurring_fee_for_usage,savings_plan_savings_plan_a_r_n,savings_plan_savings_plan_effective_cost,savings_plan_used_commitment
1,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-XB6B2AXMXCT6IGWM,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AmazonEC2,BoxUsage:t3.medium,RunInstances,ap-south-1a,arn:aws:ec2:ap-south-1:123456789012:instance/i-bk8g53au9nn1k8fk,24.79677932,1,24.79677932,USD,0.0416000000,1.1648104000,0.0416000000,1.1648104000,Amazon Elastic Compute Cloud BoxUsage:t3.medium,Amazon Elastic Compute Cloud,t3.medium,ap-south-1,ap-south-1a,Shared,Linux,AmazonEC2,backend,production,ml-inference,1.1648104000,0.0416000000,OnDemand,Hrs,,,,,,
2,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-EZC7PYXL2PEJ3NIP,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1a,arn:aws:ec2:us-east-1:123456789012:instance/i-abacwdcrwihhfrf7,24.03269784,1,24.03269784,USD,0.0960000000,2.0682045300,0.0960000000,2.0682045300,Amazon Elastic Compute Cloud BoxUsage:m5.large,Amazon Elastic Compute Cloud,m5.large,us-east-1,us-east-1a,Shared,Linux,AmazonEC2,backend,staging,ml-inference,2.0682045300,0.0960000000,OnDemand,Hrs,,,,,,
3,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-1X6M96EIOU7R63HI,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AmazonEC2,BoxUsage:c5.xlarge,RunInstances,us-east-1a,arn:aws:ec2:us-east-1:123456789012:instance/i-ahkyda1ewb2a9gei,15.55470408,1,15.55470408,USD,0.1700000000,2.6202275900,0.1700000000,2.6202275900,Amazon Elastic Compute Cloud BoxUsage:c5.xlarge,Amazon Elastic Compute Cloud,c5.xlarge,us-east-1,us-east-1a,Shared,Linux,AmazonEC2,ml,staging,cloudspire,2.6202275900,0.1700000000,OnDemand,Hrs,,,,,,
4,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-FD4FZG138KED3RYW,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AmazonS3,TimedStorage-ByteHrs,StandardStorage,ap-south-1b,,24.90369719,1,24.90369719,USD,0.0000315068,0.0007565200,0.0000315068,0.0007565200,Amazon Simple Storage Service TimedStorage-ByteHrs,Amazon Simple Storage Service,,ap-south-1,ap-south-1b,Shared,,AmazonS3,platform,development,cloudspire,0.0007565200,0.0000315068,OnDemand,Hrs,,,,,,
5,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-BVPGPTT4684ADQTY,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AmazonCloudFront,DataTransfer-Out-Bytes,HttpTransferOut,us-east-1b,,23.81054159,1,23.81054159,USD,0.0000116438,0.0002781400,0.0000116438,0.0002781400,Amazon CloudFront DataTransfer-Out-Bytes,Amazon CloudFront,,us-east-1,us-east-1b,Shared,,AmazonCloudFront,frontend,staging,api-gateway,0.0002781400,0.0000116438,OnDemand,Hrs,,,,,,
6,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-A7CLOIC121H1GZOA,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AWSLambda,Lambda-GB-Second,Invoke,ap-south-1a,,24.62708406,1,24.62708406,USD,0.0600001200,1.3239391000,0.0600001200,1.3239391000,AWS Lambda Lambda-GB-Second,AWS Lambda,,ap-south-1,ap-south-1a,Shared,,AWSLambda,backend,staging,data-pipeline,1.3239391000,0.0600001200,OnDemand,Hrs,,,,,,
7,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-D7DXOJIT3ILKIVP5,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AmazonDynamoDB,ReadCapacityUnit-Hrs,PayPerRequestThroughput,ap-south-1a,,24.55110002,1,24.55110002,USD,0.0000650000,0.0018037000,0.0000650000,0.0018037000,Amazon DynamoDB ReadCapacityUnit-Hrs,Amazon DynamoDB,,ap-south-1,ap-south-1a,Shared,,AmazonDynamoDB,backend,staging,web-portal,0.0018037000,0.0000650000,OnDemand,Hrs,,,,,,
8,2026-02-01T00:00:00Z/2026-02-01T23:59:59Z,I-HX7Y1U99ANNOZ8IR,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-01 22:30:29,2026-02-02 22:30:29,AWSDataTransfer,InterRegion-Out-Bytes,InterregionOut,us-east-1c,,22.85599480,1,22.85599480,USD,0.0000273973,0.0006966500,0.0000273973,0.0006966500,AWS Data Transfer InterRegion-Out-Bytes,AWS Data Transfer,,us-east-1,us-east-1c,Shared,,AWSDataTransfer,platform,development,api-gateway,0.0006966500,0.0000273973,OnDemand,Hrs,,,,,,
9,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-KS0EVG8GGVWYPPQH,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonEC2,BoxUsage:t3.medium,RunInstances,ap-south-1b,arn:aws:ec2:ap-south-1:123456789012:instance/i-lsw9pletdylbqjp6,22.94200288,1,22.94200288,USD,0.0416000000,0.9221351700,0.0416000000,0.9221351700,Amazon Elastic Compute Cloud BoxUsage:t3.medium,Amazon Elastic Compute Cloud,t3.medium,ap-south-1,ap-south-1b,Shared,Linux,AmazonEC2,backend,production,cloudspire,0.9221351700,0.0416000000,OnDemand,Hrs,,,,,,
10,2026-02-02T00:00:00Z/2026-02-02T23:59:59Z,I-KKUZDG0EGBAO0OH0,AWS,Anniversary,123456789012,2026-01-31T18:30:00.000Z,2026-02-28T18:30:00.000Z,123456789012,Usage,2026-02-02 22:30:29,2026-02-03 22:30:29,AmazonEC2,BoxUsage:m5.large,RunInstances,us-east-1c,arn:aws:ec2:us-east-1:123456789012:instance/i-ltbscsk65lk4mvwp,23.25237259,1,23.25237259,USD,0.0960000000,2.4852328200,0.0960000000,2.4852328200,Amazon Elastic Compute Cloud BoxUsage:m5.large,Amazon Elastic Compute Cloud,m5.large,us-east-1,us-east-1c,Shared,Linux,AmazonEC2,backend,production,ml-inference,2.4852328200,0.0960000000,OnDemand,Hrs,,,,,,
